annotation_id,source_id,line_number,tag,keyword,value
1,1,11,begin,@begin,clean_name_and_date_workflow
2,1,12,in,@in,input1_data
3,1,12,uri,@uri,file:demo_input.csv
4,1,12,as,@as,original_dataset
5,1,13,param,@param,local_authority_source
6,1,13,uri,@uri,file:demo_localDB.csv
7,1,14,out,@out,name_val_log
8,1,14,uri,@uri,file:name_val_log.txt
9,1,14,as,@as,name_cleaning_log
10,1,15,out,@out,output2_data
11,1,15,uri,@uri,file:demo_output_name_date_val.csv
12,1,15,as,@as,data_with_cleaned_names_and_dates
13,1,16,out,@out,date_val_log
14,1,16,uri,@uri,file:date_val_log.txt
15,1,16,as,@as,date_cleaning_log
16,1,20,begin,@begin,clean_scientific_name
17,1,20,desc,@desc,Clean scientificName field
18,1,21,param,@param,local_authority_source
19,1,21,uri,@uri,file:demo_localDB.csv
20,1,22,in,@in,input1_data
21,1,22,uri,@uri,file:demo_input.csv
22,1,22,as,@as,original_dataset
23,1,23,out,@out,output1_data
24,1,23,uri,@uri,file:demo_output_name_val.csv
25,1,23,as,@as,data_with_cleaned_names
26,1,24,out,@out,name_val_log
27,1,24,uri,@uri,file:name_val_log.txt
28,1,24,as,@as,name_cleaning_log
29,1,25,out,@out,record_id_data
30,1,25,uri,@uri,file:record_id.txt
31,1,45,begin,@begin,initialize_run
32,1,45,desc,@desc,Create the run log file
33,1,46,out,@out,name_val_log
34,1,46,uri,@uri,file:name_val_log.txt
35,1,46,as,@as,name_cleaning_log
36,1,47,log,@log,{timestamp} Reading input records from {input1_data_file_name}
37,1,53,end,@end,initialize_run
38,1,57,begin,@begin,read_scientific_name
39,1,57,desc,@desc,Read scientificName from local authority source
40,1,58,param,@param,local_authority_source
41,1,58,uri,@uri,file:demo_localDB.csv
42,1,59,call,@call,fieldmatch
43,1,60,out,@out,local_authority_source_scientificName_lst
44,1,60,as,@as,local_authority_source_scientificName_list
45,1,90,end,@end,read_scientific_name
46,1,94,begin,@begin,read_data_records
47,1,94,desc,@desc,Read original dataset
48,1,95,in,@in,input1_data
49,1,95,uri,@uri,file:demo_input.csv
50,1,95,as,@as,original_dataset
51,1,96,out,@out,original_scientificName
52,1,96,as,@as,scientificName
53,1,97,out,@out,original_authorship
54,1,97,as,@as,authorship
55,1,98,out,@out,RecordID
56,1,99,out,@out,original_others
57,1,99,as,@as,other_fields
58,1,100,out,@out,record_id_data
59,1,100,uri,@uri,file:record_id.txt
60,1,101,out,@out,name_val_log
61,1,101,uri,@uri,file:name_val_log.txt
62,1,101,as,@as,name_cleaning_log
63,1,102,log,@log,{timestamp} Reading input record {RecordID}
64,1,135,end,@end,read_data_records
65,1,139,begin,@begin,check_if_name_is_nonempty
66,1,139,desc,@desc,Check if scientificName value is present
67,1,140,in,@in,original_scientificName
68,1,140,as,@as,scientificName
69,1,141,out,@out,original_scientificName
70,1,141,as,@as,empty_scientificName
71,1,142,out,@out,original_scientificName
72,1,142,as,@as,nonEmpty_scientificName
73,1,143,out,@out,name_val_log
74,1,143,uri,@uri,file:name_val_log.txt
75,1,143,as,@as,name_cleaning_log
76,1,144,log,@log,{timestamp} Trying {check_type} {source_used} {match_method} match for validating {field_name}: {field_name_value}
77,1,145,log,@log,{timestamp} Checking if {field_name} value is Empty: {check_result}
78,1,162,end,@end,check_if_name_is_nonempty
79,1,166,begin,@begin,log_name_is_empty
80,1,166,desc,@desc,Log records of empty scientific name with final status as unable to validate
81,1,167,param,@param,RecordID
82,1,168,in,@in,original_scientificName
83,1,168,as,@as,empty_scientificName
84,1,169,out,@out,final_result
85,1,169,as,@as,record_final_status
86,1,170,out,@out,rejected_record_count
87,1,170,as,@as,unable-to-validate_record_count
88,1,171,out,@out,name_val_log
89,1,171,uri,@uri,file:name_val_log.txt
90,1,171,as,@as,name_cleaning_log
91,1,172,log,@log,{timestamp} {final_result} record {RecordID}
92,1,185,end,@end,log_name_is_empty
93,1,191,begin,@begin,find_name_match
94,1,192,desc,@desc,Find if the scientificName matches any record in the local authority source using exact and fuzzy match
95,1,193,in,@in,original_scientificName
96,1,193,as,@as,nonEmpty_scientificName
97,1,194,param,@param,local_authority_source_scientificName_lst
98,1,194,as,@as,local_authority_source_scientificName_list
99,1,195,call,@call,exactmatch
100,1,196,call,@call,fieldmatch
101,1,197,out,@out,matching_local_authority_source_record
102,1,197,as,@as,matching_record
103,1,198,out,@out,match_result
104,1,199,out,@out,final_result
105,1,199,as,@as,record_final_status
106,1,200,out,@out,matching_method
107,1,201,out,@out,name_val_log
108,1,201,uri,@uri,file:name_val_log.txt
109,1,201,as,@as,name_cleaning_log
110,1,202,log,@log,{timestamp} Trying {check_type} {source_used} {match_method} match for validating {field_name}: {field_name_value}
111,1,203,log,@log,"{timestamp} {match_method} match was {match_result}, compliant with {source_used}: {compliant_result}."
112,1,229,end,@end,find_name_match
113,1,235,begin,@begin,log_match_not_found
114,1,235,desc,@desc,Log record where no match is found in authority source final status as unable to validate
115,1,236,param,@param,RecordID
116,1,237,in,@in,final_result
117,1,237,as,@as,record_final_status
118,1,238,in,@in,match_result
119,1,239,out,@out,rejected_record_count
120,1,239,as,@as,unable-to-validate_record_count
121,1,240,out,@out,name_val_log
122,1,240,uri,@uri,file:name_val_log.txt
123,1,240,as,@as,name_cleaning_log
124,1,241,log,@log,{timestamp} {final_result} record {RecordID}
125,1,254,end,@end,log_match_not_found
126,1,259,begin,@begin,update_scientific_name
127,1,259,desc,@desc,Update scientificName if fuzzy match is found
128,1,260,in,@in,matching_method
129,1,261,in,@in,match_result
130,1,262,in,@in,matching_local_authority_source_record
131,1,262,as,@as,matching_record
132,1,263,out,@out,updated_scientificName
133,1,271,end,@end,update_scientific_name
134,1,276,begin,@begin,update_authorship
135,1,276,desc,@desc,Update authorship if fuzzy match is found
136,1,277,in,@in,original_authorship
137,1,277,as,@as,authorship
138,1,278,in,@in,matching_method
139,1,279,in,@in,matching_local_authority_source_record
140,1,279,as,@as,matching_record
141,1,280,out,@out,updated_authorship
142,1,290,end,@end,update_authorship
143,1,296,begin,@begin,log_updated_record
144,1,296,desc,@desc,Log records updating from old value to new value
145,1,297,in,@in,updated_scientificName
146,1,298,in,@in,updated_authorship
147,1,299,in,@in,original_authorship
148,1,299,as,@as,authorship
149,1,300,out,@out,name_val_log
150,1,300,uri,@uri,file:name_val_log.txt
151,1,300,as,@as,name_cleaning_log
152,1,301,log,@log,{timestamp} UPDATING {field_name} from {original_value} to {updated_value}
153,1,319,end,@end,log_updated_record
154,1,323,begin,@begin,log_accepted_record
155,1,323,desc,@desc,Log record final status as accepted
156,1,324,param,@param,RecordID
157,1,325,in,@in,final_result
158,1,325,as,@as,record_final_status
159,1,326,out,@out,accepted_record_count
160,1,327,out,@out,name_val_log
161,1,327,uri,@uri,file:name_val_log.txt
162,1,327,as,@as,name_cleaning_log
163,1,328,log,@log,{timestamp} {final_result} record {RecordID}
164,1,333,end,@end,log_accepted_record
165,1,338,begin,@begin,write_data_into_file
166,1,338,desc,@desc,Write data into a new file
167,1,339,in,@in,original_others
168,1,339,as,@as,other_fields
169,1,340,in,@in,original_scientificName
170,1,340,as,@as,scientificName
171,1,341,in,@in,original_authorship
172,1,341,as,@as,authorship
173,1,342,in,@in,updated_scientificName
174,1,343,in,@in,updated_authorship
175,1,344,out,@out,output1_data
176,1,344,uri,@uri,file:demo_output_name_val.csv
177,1,344,as,@as,data_with_cleaned_names
178,1,349,end,@end,write_output1_data
179,1,353,begin,@begin,log_summary
180,1,353,desc,@desc,Summarize on all the records
181,1,354,in,@in,accepted_record_count
182,1,355,in,@in,rejected_record_count
183,1,355,as,@as,unable-to-validate_record_count
184,1,356,out,@out,name_val_log
185,1,356,uri,@uri,file:name_val_log.txt
186,1,356,as,@as,name_cleaning_log
187,1,357,log,@log,{timestamp} Wrote {accepted_record_count} ACCEPTED records to {output1_data_file_name}
188,1,358,log,@log,{timestamp} Wrote {rejected_record_count} UNABLE-to-determine-validity records to {output1_data_file_name}
189,1,365,end,@end,log_summary
190,1,369,end,@end,clean_scientific_name
191,1,373,begin,@begin,clean_event_date
192,1,373,desc,@desc,Clean eventDate field
193,1,374,in,@in,output1_data
194,1,374,uri,@uri,file:demo_output_name_val.csv
195,1,374,as,@as,data_with_cleaned_names
196,1,375,param,@param,record_id_data
197,1,375,uri,@uri,file:record_id.txt
198,1,376,out,@out,output2_data
199,1,376,uri,@uri,file:demo_output_name_date_val.csv
200,1,376,as,@as,data_with_cleaned_names_and_dates
201,1,377,out,@out,date_val_log
202,1,377,uri,@uri,file:date_val_log.txt
203,1,377,as,@as,date_cleaning_log
204,1,394,begin,@begin,initialize_run
205,1,394,desc,@desc,Create the run log file
206,1,395,out,@out,date_val_log
207,1,395,uri,@uri,file:date_val_log.txt
208,1,395,as,@as,date_cleaning_log
209,1,396,log,@log,{timestamp} Reading input records from {input2_data_file_name}
210,1,402,end,@end,initialize_run
211,1,406,begin,@begin,read_data_records
212,1,406,desc,@desc,Read data with cleaned names
213,1,407,in,@in,input2_data
214,1,407,uri,@uri,file:demo_output_name_val.csv
215,1,407,as,@as,data_with_cleaned_names
216,1,408,in,@in,record_id_data
217,1,408,uri,@uri,file:record_id.txt
218,1,409,out,@out,original2_eventDate
219,1,409,as,@as,eventDate
220,1,410,out,@out,RecordID
221,1,411,out,@out,original2_others
222,1,411,as,@as,other_fields
223,1,412,out,@out,date_val_log
224,1,412,uri,@uri,file:date_val_log.txt
225,1,412,as,@as,date_cleaning_log
226,1,413,log,@log,{timestamp} Reading input record {RecordID}
227,1,443,end,@end,read_input2_data_records
228,1,447,begin,@begin,check_if_date_is_nonempty
229,1,447,desc,@desc,Check if eventDate value is present
230,1,448,in,@in,original2_eventDate
231,1,448,as,@as,eventDate
232,1,449,out,@out,original2_eventDate
233,1,449,as,@as,empty_eventDate
234,1,450,out,@out,original2_eventDate
